,国家,2019年国际排名,2018世界杯,2015亚洲杯,聚类
0,中国,73,40,7,0
1,日本,60,15,5,2
2,乌兹别克斯坦,88,40,8,0
3,泰国,122,40,17,1
4,越南,102,50,17,1
5,阿曼,87,50,12,1
6,巴林,116,50,11,1
7,朝鲜,110,50,14,1
8,印尼,164,50,17,1
9,澳洲,40,30,1,2
10,叙利亚,76,40,17,1
11,约旦,118,50,9,1
12,科威特,160,50,15,1
13,巴勒斯坦,96,50,16,1
14,韩国,61,19,2,2
15,伊朗,34,18,6,2
16,沙特,67,26,10,2
17,伊拉克,91,40,4,0
18,卡塔尔,101,40,13,1
19,阿联酋,81,40,6,0
